allele		the two alternative forms of a gene found at the same place on a chromosome.			
inflammation		a mechanism of innate immunity causing heat, pain, redness, swelling, and loss of function			
infection		invasion of the body by pathogens, and the subsequent reaction of the body			
innate immune system		nonspecific defense mechanisms made up of physical barriers (e.g. skin, saliva) and internal defenses (e.g. inflammatory response), responds to all pathogens			
interferons		"""signal substances"" that the cell makes when it gets infected, activating surrounding cells to make antiviral proteins"			
leukocyte		white blood cell; ability to recognise foreign from self, and eliminate the first			
lymph node		small, bean-shaped glands throughout the body, and part of the lymph system. Relevant for proper functioning of the immune system, acting as filters for foreign particles and cancer cells.			
lymphocytes		a subtype of the white blood cell, comprises the Natural Killer cell (NK-cell), T-cel and B-cel			
macrophage		"activated monocytes; ""big eaters"", consume intruders and send a signal to other cells about what they have eaten as APC's"			
Major Histocompatibility Complex (MHC)		a set of cell surface proteins essential for the acquired immune system to recognize foreign molecules			
mast cell		a type of granulocyte which contains many secretory granules rich in histamine. Mediate inflammatory responses such as hypersensitivity and allergic reactions			
memory cell		a lymphocyte which recognizes antigen from earlier infection and enables rapid defense response. Can be a B or a T cell.			
monocyte		a phagocytic type of white blood cell which can differentiate into a macrophage			
natural killer cell (NK cell)		a lymphocyte which recognizes tumor- and virus infected cell and causes these cell to die. Part of innate immune system			
neutrophil		the most abundant type of granulocytes and white blood cells. Forms pus when dies			
pathogen		an organism, e.g. virus, bacteria or other microorganism, which causes a disease			
phagocytosis		meaning 'to devour'; the proces by which certain living cells (phagocytes) absorb or strongly affect other cells or particles			
plasma cell		B-cells differentiated to produce a single type of antibody (monoclone)			
secondary immune response		a bodily response to second time exposure of the same antigen			
T-cell		a type of lymphocyte that matures in the thymus			
virus		a small infectious agent that replicates inside the living cells of other organisms			
white blood cell		leukocytes; cells of the immune system involved in protection against infectious disease and foreign invaders			
absorption		the movement of a drug into the bloodstream			
ADME (abbreviation)		the process of what the body does to a drug: Absorption, Distribution, Metabolism and Elimination			
affinity		the degree to which a substance tends to bind with oneanother			
affinity (of ligand / receptor)		when a protein has the best ligand fit in terms of both shape and charge, it has the highest affinity for this ligand			
agonist		a substance which initiates a regular physiological response when combined with a receptor			
antagonist		substance which blocks or dampens agonist-mediated responses rather than provoking a biological response itself upon binding to a receptor			
blood-brain barrier (BBB)		a semi-permeable membrane separating the blood from the cerebrospinal fluid, thereby constituting a barrier to the passage of cells, particles and large molecules			
distribution		the movement of a drug to its target			
diversity (of ligand / receptor)		the amount of receptors/ligands a ligand/receptor can bind (to)			
drug half-life (T1/2)		the time it takes to reduce the concentration of a drug by half in the body			
drug-ligand competition		the process in which a drug and a ligand compete to bind to a receptor			
ED50		the median effective dose that produces an effect in 50% of the population.			
elimination		the process of eliminating or expelling waste matter in living organisms and cells			
epidural		an injection into the space around the dura mater of the spinal cord			
excretion		to transport a substance out of its surroundings			
intramuscular		route of drug administration, via a muscle			
intraperitoneal		route of drug administration, within the peritoneal cavity, the area that contains the abdominal organs			
intrathecal		route of drug administration, within the blood brain barrier. Can be more local and better timed than for example the epidural injection.			
inverse agonist		produces a response that is in the opposite direction to that of an agonist			
monoamine oxidase inhibitors (MAOI)		inhibit the activity of the monoamine oxidase enzymes			
monoamine-oxidase		a family of enzymes that catalyze the oxidation of monoamines			
norepinephrine transporter (NET)		a monoamine transporter for noradrenaline			
off-label prescribing		the medication is being used in a manner not specified in the FDA's approved packaging label			
parenteral		a way to insert drugs or nutritients in other ways than through the gastrointestinal tract e.g. injections or infusion			
partial agonist		an agonist that tilts more to a antagonist and is comparable with a dimmer controle. It partly activates the receptor			
pharmaceutical drug / medicine		a drug used to diagnose, cure, treat or prevent disease			
pharmacodynamics		the branch of pharmacology concerned with the effects of drugs and the mechanism of their actions. What the drug does to the body.			
pharmacokinetics		the branch of pharmacology concerned with the movement of drugs within your body. What the body does to the drugs			
phase I metabolism		a variety of enzyms act to introduce reactive and polar groups into their substrates. Important substances are oxidation, reduction, and hydrolysis.			
placental barrier		this is a membrame that's made up of placental tissue, which protects the child from different kinds of substances or pathogens from the mother			
psychopharmaca		chemical substance that can pass through the blood-brain-barrier			
psychopharmacology		scientific study of the effects of a drug on the mood, sensation, thinking and behavior			
randomized controlled trial (RCT)		experiment with random conditions and a control group which investigates whether a treatment is working			
reuptake transporter		a protein which reabsorpts a neurotransmitter into a pre-synaptic neuron after it has performed its function of transmitting a neural impulse			
saturation (of ligand/ receptor)		the state in which all receptors are effectively occupied all the time			
selective serotonin reuptake inhibitors		antidepressant, works at 5-HT transporters, blocking the reuptake of serotonin; example fluoxetine (prozac)			
serotonin		a monoamine neurotransmitter derived from tryptophan, involved in mood			
serotonin transporter (SERT)		a protein that takes up serotonin into the presynaptic neuron when there is serotonin in the synaptic cleft. A serotonin recycler			
serotonin-norepinephrine reuptake inhibitor (SNRI)		an antidepressant drug which inhibits the reuptake of serotonin and noradrenaline			
specificity (of ligand / receptor)		only if ligand and receptor match, they can bind (there are many different ligands and receptors)			
subcutaneous		route of drug administration, just below skin			
transdermal (TD)		route of drug administration, through skin			
transmucosal		route of drug administration, entering through, or across, a mucous membrane			
tricyclic antidepressants (TCA)		class of antidepressants, named after their chemical structure, which contains three rings of atoms. Example: amitriptyline			
tryptophan		essential aminoacid, precursor for serotonin and melatonin			
